31838208,10237896,21686016
33308672,11141968,23737856
33419264,11494824,23737856
33759232,11094816,23737856
33132544,10729688,23737856
32641024,10640136,22717952
32518144,10727336,22717952
32841728,10733728,22717952
32964608,10840680,22717952
33107968,10884312,22717952
32989184,10953272,22717952
33107968,10936352,22717952
33439744,11027424,31106560
33648640,11053048,31106560
33411072,11138520,31106560
33726464,11175480,31106560
33607680,11243920,31106560
33988608,11271656,31106560
33882112,11352184,31106560
34115584,11350120,31106560
33988608,11433032,31106560
34312192,11475896,31106560
34209792,11552464,31106560
34529280,11569880,31106560
34586624,11637800,31106560
34750464,11656480,31106560
34848768,11749016,31106560
35213312,11850976,31106560
35319808,11918152,32138496
35102720,11938464,32138496
35491840,12025864,32138496
35651584,12054264,32138496
35512320,12134768,32138496
35934208,12185080,32138496
35954688,12233840,32138496
36130816,12262824,32138496
36270080,12358504,32138496
36409344,12378128,33158400
36495360,12459432,33158400
36638720,12493728,33158400
36765696,12559552,33158400
36896768,12582888,33158400
37023744,12659296,33158400
37142528,12690288,33158400
37224448,12770472,33158400
37380096,12817584,33158400
37470208,12878312,33158400
37511168,12909112,33158400
37605376,12982488,33158400
37703680,13012824,33158400
37781504,13084688,34190336
38076416,13145104,34190336
37969920,13219856,33170432
38322176,13239520,34190336
38559744,13325824,34190336
38793216,13351680,34190336
38871040,13441744,34190336
39006208,13478616,34190336
39059456,13539056,34190336
39223296,13557664,34190336
39309312,13648160,34190336
39415808,13658360,34190336
39522304,13749296,34190336
39682048,13778872,34190336
39735296,13856736,34190336
39882752,13865184,34190336
40067072,13965800,34190336
40157184,13993352,34190336
40361984,14101960,34190336
40484864,14126136,34190336
40628224,14204280,35222272
40869888,14238792,35222272
40644608,14176704,34190336
40734720,14207752,34190336
40529920,14294440,33170432
40767488,14331856,34190336
40873984,14399704,35222272
41005056,14420040,35222272
41177088,14499648,35222272
41275392,14539088,35222272
41377792,14608680,35222272
41517056,14657704,35222272
41623552,14729112,35222272
41730048,14745104,35222272
41828352,14822592,35222272
41922560,14856632,35222272
42086400,14982976,35222272
42237952,15022496,35222272
42192896,15077296,34202368
42504192,15108392,35222272
42565632,15180384,35222272
42770432,15220464,35222272
42811392,15288960,35222272
43094016,15351456,36254208
43167744,15410544,36254208
43311104,15451168,36254208
43438080,15532360,37286144
43601920,15554264,37286144
43679744,15635760,37286144
43900928,15672000,37286144
44027904,15750624,37286144
44089344,15776104,37286144
43917312,15847688,36266240
44363776,15874800,37286144
44445696,15952832,37286144
44564480,15988592,37286144
44658688,16053784,37286144
44781568,16075808,37286144
44953600,16153208,37286144
45101056,16170560,37286144
45060096,16213720,37286144
45191168,16238032,37286144
45273088,16305264,37286144
45441024,16329992,37286144
45555712,16413344,37286144
45772800,16455360,37286144
45953024,16551936,37286144
46014464,16582712,37286144
46129152,16653192,38318080
46252032,16669584,38318080
